
Player,Nation,Age,90s,Tkl,TklW,Def_3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Virgil van Dijk,NED,28,38,30,20,20,9,1,6,15,40,9,133,46,34.6,84,37,12,32,16,1,16,35,65,259,2
Trent Alexander-Arnold,ENG,20,35.3,58,25,37,15,6,34,85,40,51,409,131,32,193,123,93,53,9,0,44,46,104,98,2
Georginio Wijnaldum,NED,28,32.6,37,29,13,17,7,5,34,14.7,29,489,160,32.7,126,255,108,35,4,0,31,18,55,34,1
Andrew Robertson,SCO,25,34.6,60,32,19,25,16,31,69,44.9,38,390,134,34.4,136,144,110,59,7,0,52,38,98,82,0
Roberto Firmino,BRA,27,33.2,37,26,7,17,13,10,34,29.4,24,694,216,31.1,57,307,330,47,5,0,42,8,45,16,0
Mohamed Salah,EGY,27,32,21,13,3,5,13,4,27,14.8,23,552,180,32.6,48,161,343,13,3,0,10,8,29,2,0
Sadio Mane,SEN,27,30.5,50,35,13,23,14,15,46,32.6,31,504,153,30.4,106,167,231,30,1,0,29,14,64,5,0
Jordan Henderson,ENG,29,24.9,65,36,22,31,12,23,63,36.5,40,532,169,31.8,134,287,111,37,5,0,32,29,94,27,0
Fabinho,BRA,25,23.1,77,53,27,37,13,26,65,40,39,428,139,32.5,149,219,60,36,2,0,34,35,112,34,0
Joe Gomez,ENG,22,22.3,26,15,17,9,0,10,22,45.5,12,151,60,39.7,92,55,4,25,8,0,17,41,67,90,1
Alex Oxlade-Chamberlain,ENG,25,16.5,23,14,4,12,7,5,25,20,20,374,111,29.7,79,171,124,27,2,0,25,22,45,7,0
James Milner,ENG,33,10.4,17,10,3,12,2,4,22,18.2,18,169,41,24.3,50,93,26,15,3,1,12,8,25,25,0
Naby Keita,GUI,24,9.1,27,20,8,13,6,9,25,36,16,213,78,36.6,41,99,73,19,0,0,19,11,38,4,0
Joel Matip,CMR,27,7.8,13,9,5,6,2,5,12,41.7,7,64,27,42.2,35,27,2,7,3,0,4,13,26,76,0
Divock Origi,BEL,24,8,15,10,2,7,6,4,7,57.1,3,152,53,34.9,15,61,76,6,0,0,6,4,19,7,0
Adam Lallana,ENG,31,4.2,20,12,9,9,2,9,27,33.3,18,132,41,31.1,45,54,33,13,0,0,13,4,24,3,0
Neco Williams,WAL,18,2.6,6,2,1,3,2,3,4,75,1,36,12,33.3,11,15,10,7,1,0,6,8,14,8,0
Takumi Minamino,JPN,24,2.8,4,3,1,3,0,1,7,14.3,6,63,20,31.7,11,27,25,3,0,0,3,0,4,2,0
Xherdan Shaqiri,SUI,27,2.1,1,0,0,1,0,0,0,,0,39,12,30.8,11,13,15,1,0,0,1,0,1,0,0
Curtis Jones,ENG,18,1.4,3,2,0,1,2,2,3,66.7,1,27,7,25.9,5,8,14,3,0,0,3,2,5,1,0
Adrian,ESP,32,9.7,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,2
Alisson,BRA,26,28.3,0,0,0,0,0,0,3,0,3,5,1,20,5,0,0,0,0,0,0,1,1,2,1
