
Player,Nation,Age,90s,Touches,Def Pen,Def 3rd,Mid_3rd,Att 3rd,Att Pen,Live,Su_cc,Att,Succ_,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos
Virgil van Dijk,NED,28,38,3465,340,1427,2086,108,49,3382,3,5,60,4,0,2321,9327,4883,2568,2514,97.9,2,2
Trent Alexander-Arnold,ENG,20,35.3,3520,105,848,1641,1246,63,2865,26,56,46.4,30,4,2108,9334,5698,2363,2230,94.4,36,22
Georginio Wijnaldum,NED,28,32.6,1920,41,288,1190,569,83,1893,49,78,62.8,50,5,1504,8139,3620,1635,1441,88.1,36,41
Andrew Robertson,SCO,25,34.6,3265,100,684,1615,1221,95,2879,24,48,50,30,0,2164,11411,7066,2438,2276,93.4,39,20
Roberto Firmino,BRA,27,33.2,1573,21,116,741,810,230,1543,59,97,60.8,64,2,1168,6485,3587,1818,1218,67,64,59
Mohamed Salah,EGY,27,32,1405,4,57,406,1022,318,1349,66,99,66.7,70,3,1069,6402,3895,1815,1109,61.1,85,79
Sadio Mane,SEN,27,30.5,1590,13,125,627,1002,221,1572,76,116,65.5,84,6,1248,9671,5435,1843,1275,69.2,85,72
Jordan Henderson,ENG,29,24.9,2098,40,327,1374,508,45,2055,18,33,54.5,22,3,1456,7357,3525,1674,1553,92.8,17,11
Fabinho,BRA,25,23.1,1735,42,379,1114,326,13,1715,10,12,73.3,11,1,1136,5164,2355,1257,1205,95.9,11,12
Joe Gomez,ENG,22,22.3,2141,175,860,1344,67,4,2097,11,16,68.8,12,0,1564,8111,4142,1578,1566,99.2,10,2
Alex Oxlade-Chamberlain,ENG,25,16.5,965,13,86,525,434,46,951,35,55,63.6,36,0,703,4414,2241,885,731,82.6,33,37
James Milner,ENG,33,10.4,875,29,163,509,244,12,811,9,13,69.2,10,0,562,2514,1190,673,635,94.4,3,7
Naby Keita,GUI,24,9.1,783,8,88,493,261,26,775,20,26,76.9,21,1,588,3545,2087,668,605,90.6,8,10
Joel Matip,CMR,27,7.8,626,48,276,365,34,10,610,2,2,100,2,0,398,2513,1768,412,408,99,1,2
Divock Origi,BEL,24,8,342,6,26,142,202,45,340,11,26,42.3,13,1,255,1863,1166,387,256,66.1,21,24
Adam Lallana,ENG,31,4.2,333,7,52,178,126,12,331,2,6,33.3,4,1,236,1117,523,273,236,86.4,5,7
Neco Williams,WAL,18,2.6,245,3,59,110,90,10,210,6,13,46.2,7,0,151,793,384,168,147,87.5,3,0
Takumi Minamino,JPN,24,2.8,156,3,11,76,83,20,155,4,8,50,4,0,123,617,252,169,130,76.9,9,9
Xherdan Shaqiri,SUI,27,2.1,129,1,18,65,50,3,116,2,4,50,2,0,90,363,132,119,96,80.7,3,5
Curtis Jones,ENG,18,1.4,146,1,21,79,54,7,146,4,4,100,4,0,116,588,347,124,115,92.7,3,3
Alisson,BRA,26,28.3,984,804,976,9,0,0,760,0,0,,0,0,549,2115,1090,494,490,99.2,1,0
Adrian,ESP,32,9.7,338,300,338,0,0,0,244,0,0,,0,0,163,638,356,155,154,99.4,0,0
